TeamID,Season,Wins,Losses,WinRatio
3101,2014,11,12,0.478
3102,2014,1,28,0.034
3103,2014,22,9,0.71
3104,2014,14,16,0.467
3105,2014,6,24,0.2
3106,2014,13,13,0.5
3107,2014,28,4,0.875
3108,2014,8,22,0.267
3109,2014,0,0,
3110,2014,22,9,0.71
3111,2014,12,16,0.429
3112,2014,5,25,0.167
3113,2014,22,9,0.71
3114,2014,18,12,0.6
3115,2014,2,25,0.074
3116,2014,19,11,0.633
3117,2014,22,11,0.667
3118,2014,0,0,
3119,2014,24,7,0.774
3120,2014,16,14,0.533
3121,2014,0,0,
3122,2014,8,20,0.286
3123,2014,18,16,0.529
3124,2014,29,4,0.879
3125,2014,14,17,0.452
3126,2014,10,18,0.357
3127,2014,5,25,0.167
3128,2014,0,0,
3129,2014,15,13,0.536
3130,2014,12,18,0.4
3131,2014,13,20,0.394
3132,2014,27,4,0.871
3133,2014,8,22,0.267
3134,2014,0,0,
3135,2014,10,18,0.357
3136,2014,17,14,0.548
3137,2014,16,13,0.552
3138,2014,16,13,0.552
3139,2014,15,15,0.5
3140,2014,26,6,0.812
3141,2014,20,11,0.645
3142,2014,18,13,0.581
3143,2014,21,9,0.7
3144,2014,17,12,0.586
3145,2014,13,17,0.433
3146,2014,16,12,0.571
3147,2014,0,0,
3148,2014,11,17,0.393
3149,2014,5,22,0.185
3150,2014,15,15,0.5
3151,2014,29,3,0.906
3152,2014,1,25,0.038
3153,2014,13,18,0.419
3154,2014,0,0,
3155,2014,13,19,0.406
3156,2014,13,16,0.448
3157,2014,12,15,0.444
3158,2014,17,14,0.548
3159,2014,8,22,0.267
3160,2014,17,14,0.548
3161,2014,23,7,0.767
3162,2014,6,22,0.214
3163,2014,34,0,1.0
3164,2014,15,14,0.517
3165,2014,14,14,0.5
3166,2014,19,13,0.594
3167,2014,16,10,0.615
3168,2014,12,18,0.4
3169,2014,18,14,0.562
3170,2014,18,12,0.6
3171,2014,5,23,0.179
3172,2014,16,16,0.5
3173,2014,23,7,0.767
3174,2014,20,10,0.667
3175,2014,6,21,0.222
3176,2014,9,23,0.281
3177,2014,26,6,0.812
3178,2014,5,23,0.179
3179,2014,17,15,0.531
3180,2014,15,16,0.484
3181,2014,27,6,0.818
3182,2014,19,12,0.613
3183,2014,12,16,0.429
3184,2014,16,13,0.552
3185,2014,14,13,0.519
3186,2014,15,14,0.517
3187,2014,21,8,0.724
3188,2014,11,19,0.367
3189,2014,13,16,0.448
3190,2014,9,21,0.3
3191,2014,15,15,0.5
3192,2014,3,26,0.103
3193,2014,20,10,0.667
3194,2014,15,13,0.536
3195,2014,26,7,0.788
3196,2014,19,12,0.613
3197,2014,16,14,0.533
3198,2014,14,18,0.438
3199,2014,20,11,0.645
3200,2014,25,7,0.781
3201,2014,20,9,0.69
3202,2014,16,12,0.571
3203,2014,20,10,0.667
3204,2014,10,21,0.323
3205,2014,15,14,0.517
3206,2014,8,23,0.258
3207,2014,10,21,0.323
3208,2014,19,10,0.655
3209,2014,12,19,0.387
3210,2014,20,11,0.645
3211,2014,29,4,0.879
3212,2014,9,20,0.31
3213,2014,19,8,0.704
3214,2014,28,4,0.875
3215,2014,0,0,
3216,2014,13,18,0.419
3217,2014,21,6,0.778
3218,2014,17,13,0.567
3219,2014,21,10,0.677
3220,2014,13,15,0.464
3221,2014,20,12,0.625
3222,2014,6,25,0.194
3223,2014,11,17,0.393
3224,2014,11,20,0.355
3225,2014,23,8,0.742
3226,2014,12,17,0.414
3227,2014,21,7,0.75
3228,2014,8,21,0.276
3229,2014,10,20,0.333
3230,2014,3,15,0.167
3231,2014,18,12,0.6
3232,2014,20,11,0.645
3233,2014,26,5,0.839
3234,2014,26,8,0.765
3235,2014,20,10,0.667
3236,2014,13,14,0.481
3237,2014,20,9,0.69
3238,2014,15,15,0.5
3239,2014,13,17,0.433
3240,2014,14,18,0.438
3241,2014,28,5,0.848
3242,2014,13,19,0.406
3243,2014,11,18,0.379
3244,2014,6,24,0.2
3245,2014,7,23,0.233
3246,2014,24,8,0.75
3247,2014,15,15,0.5
3248,2014,14,16,0.467
3249,2014,17,12,0.586
3250,2014,13,18,0.419
3251,2014,18,11,0.621
3252,2014,6,24,0.2
3253,2014,17,15,0.531
3254,2014,9,21,0.3
3255,2014,8,22,0.267
3256,2014,12,20,0.375
3257,2014,30,4,0.882
3258,2014,9,21,0.3
3259,2014,5,25,0.167
3260,2014,11,21,0.344
3261,2014,19,12,0.613
3262,2014,4,23,0.148
3263,2014,16,14,0.533
3264,2014,9,21,0.3
3265,2014,27,6,0.818
3266,2014,21,10,0.677
