TeamID,Season,WinRatio,PPG,AllowedPPG,FGPer,Turnovers,Blocks,Rebounds,Assists,PerFouls
3103,2010,0.567,62.233,59.633,0.402,18.267,2.4,37.767,13.433,17.533
3104,2010,0.379,64.138,67.0,0.4,19.172,2.931,40.414,13.103,20.414
3105,2010,0.519,60.778,64.741,0.404,25.037,5.148,37.037,9.741,19.148
3106,2010,0.414,55.138,57.414,0.35,20.103,4.483,39.759,11.483,22.069
3107,2010,0.367,56.4,61.8,0.334,16.9,3.0,38.633,9.433,16.2
3108,2010,0.286,60.357,70.286,0.343,20.536,1.107,33.679,10.571,22.857
3109,2010,,,,,,,,,
3110,2010,0.619,60.429,54.381,0.4,15.19,3.905,36.095,11.476,14.571
3111,2010,0.613,66.419,63.839,0.433,21.226,6.516,41.935,15.935,20.032
3112,2010,0.452,65.419,66.516,0.42,18.226,2.968,38.29,12.0,15.516
3113,2010,0.567,62.567,59.733,0.415,19.433,4.2,37.167,13.233,18.567
3114,2010,0.812,66.844,52.406,0.449,12.25,2.312,34.688,15.406,16.719
3115,2010,0.267,63.367,73.1,0.376,22.633,3.0,38.433,11.733,23.267
3116,2010,0.4,64.933,67.367,0.402,18.333,4.333,38.067,12.633,17.433
3117,2010,0.4,65.033,69.133,0.378,18.733,4.0,40.867,11.567,17.233
3118,2010,,,,,,,,,
3119,2010,0.333,52.292,58.75,0.357,17.208,3.125,35.75,9.875,16.417
3120,2010,0.484,61.839,62.161,0.418,16.935,5.129,39.774,13.484,14.774
3121,2010,,,,,,,,,
3122,2010,0.469,66.188,71.781,0.387,18.281,2.906,40.781,10.156,17.406
3123,2010,0.452,67.065,67.355,0.421,18.968,3.032,38.484,13.774,18.581
3124,2010,0.719,72.094,56.844,0.464,16.875,7.25,43.25,14.688,14.125
3125,2010,0.483,64.69,66.241,0.363,14.862,3.586,39.517,12.724,17.759
3126,2010,0.464,60.464,67.536,0.37,19.714,2.607,38.714,10.929,17.964
3127,2010,0.367,61.467,63.833,0.381,15.633,2.533,37.667,11.533,15.9
3128,2010,,,,,,,,,
3129,2010,0.6,70.167,68.0,0.401,17.1,4.0,41.5,11.833,18.2
3130,2010,0.531,69.0,65.406,0.441,18.031,3.25,38.062,15.094,16.219
3131,2010,0.533,64.833,64.767,0.372,15.2,3.233,38.4,12.9,16.6
3132,2010,0.818,73.727,60.121,0.428,15.636,3.394,37.636,14.727,16.152
3133,2010,0.552,62.931,63.517,0.422,21.517,5.103,41.138,14.103,19.138
3134,2010,,,,,,,,,
3135,2010,0.286,53.321,64.286,0.324,18.643,2.679,37.357,9.25,18.643
3136,2010,0.448,63.586,65.345,0.376,20.448,3.379,41.414,13.621,17.931
3137,2010,0.158,52.632,62.0,0.4,22.474,3.895,37.263,11.737,17.316
3138,2010,0.233,62.633,67.933,0.401,20.9,4.333,39.6,13.167,16.033
3139,2010,0.719,67.781,59.469,0.437,16.25,2.719,36.375,14.0,15.812
3140,2010,0.69,65.138,57.31,0.424,17.103,3.379,37.759,16.586,17.966
3141,2010,0.414,72.207,74.586,0.404,18.828,1.69,35.138,13.448,18.483
3142,2010,0.621,71.759,66.828,0.448,17.448,2.0,40.414,18.31,18.379
3143,2010,0.581,65.419,61.226,0.394,16.065,3.452,41.226,11.032,16.323
3144,2010,0.448,64.655,67.759,0.404,20.69,2.414,40.379,13.897,18.69
3145,2010,0.387,55.516,58.065,0.349,16.548,2.065,34.323,11.742,17.774
3146,2010,0.68,72.72,68.24,0.391,17.88,3.16,42.64,11.48,17.28
3147,2010,0.069,47.759,74.31,0.341,26.0,3.276,31.69,9.69,18.483
3148,2010,0.4,59.767,60.8,0.384,19.567,4.733,39.833,12.867,16.967
3149,2010,0.519,64.741,64.704,0.374,18.222,1.741,36.667,10.963,17.37
3150,2010,0.567,62.7,59.733,0.386,18.867,3.567,40.8,13.433,17.167
3151,2010,0.75,67.281,61.625,0.403,15.75,1.812,40.938,12.594,14.219
3152,2010,0.333,61.778,66.778,0.414,20.778,3.37,34.63,15.37,17.852
3153,2010,0.414,56.69,59.862,0.386,15.69,2.241,34.241,11.103,13.69
3154,2010,,,,,,,,,
